Plant,Botanical Name,Type,Light Requirement,Water Requirement,Humidity Needs,Feeding Frequency,Growth Habit,Pet Safe
Money Plant (Pothos),Epipremnum aureum,Foliage / Creeper,Indirect Light,Once a Week,"Average, tolerates dry air","Monthly, growing season, half-strength",Trailing / climbing,No - toxic (oxalates)
Snake Plant,Sansevieria trifasciata,Foliage / Succulent-like,Indirect Light,Once in 2-3 Weeks,"Low, very tolerant",2x/year is enough,"Upright, sword-like",No - toxic to pets
ZZ Plant,Zamioculcas zamiifolia,Foliage,Indirect Light,Once in 2-3 Weeks,"Low, tolerant of dry air",Monthly in growing season,Upright,No - toxic to pets
Spider Plant,Chlorophytum comosum,Foliage,Bright but Indirect,Once a Week,Average,"Monthly, growing season",Trailing / arching,Yes - non-toxic
Peace Lily,Spathiphyllum spp.,Flowering,Indirect Light,Once a Week,"High, likes humidity",Every 6-8 weeks,"Upright, clumping",No - toxic to pets
Aglaonema (Chinese Evergreen),Aglaonema commutatum,Foliage,Indirect Light,Once a Week,Average,"Monthly, growing season",Upright,No - toxic to pets
Dracaena,Dracaena spp.,Foliage,Indirect Light,Once a Week,Average,"Monthly, growing season",Upright cane,No - toxic to pets
Rubber Plant,Ficus elastica,Foliage,Bright but Indirect,Once a Week,Moderate-high,"Monthly, growing season",Upright tree-form,No - toxic (latex sap)
Philodendron (Heartleaf),Philodendron hederaceum,Foliage / Creeper,Bright but Indirect,Once a Week,Average,"Monthly, growing season",Trailing / climbing,No - toxic to pets
Calathea,Calathea spp.,Foliage,Indirect Light,Once a Week,High (60-80%),"Monthly, growing season","Upright, clumping",Yes - non-toxic
Croton,Codiaeum variegatum,Foliage,Bright but Indirect,Once a Week,Average,"Monthly, growing season","Upright, bushy",Caution - mildly toxic
Schefflera (Umbrella Plant),Schefflera arboricola,Foliage,Bright but Indirect,Once a Week,Average,"Monthly, growing season","Upright, bushy",No - toxic to pets
Boston Fern,Nephrolepis exaltata,Foliage,Indirect Light,Every 2-3 Days,High - needs humidity,"Monthly, growing season",Arching fronds,Yes - non-toxic
Areca Palm,Dypsis lutescens,Foliage,Bright but Indirect,Once a Week,Moderate-high,"Regular, growing season","Upright, arching fronds",Yes - non-toxic
Parlor Palm,Chamaedorea elegans,Foliage,Indirect Light,Once a Week,Moderate-high,"1-2x/month, growing season",Upright fronds,Yes - non-toxic
Bird's Nest Fern,Asplenium nidus,Foliage,Indirect Light,Every 2-3 Days,High,"Monthly, growing season",Rosette,Yes - non-toxic
Prayer Plant (Maranta),Maranta leuconeura,Foliage,Bright but Indirect,Once in 2-3 Weeks,High,"Monthly, growing season",Trailing / clumping,Yes - non-toxic
Cast Iron Plant,Aspidistra elatior,Foliage,Low Light,Once in 2-3 Weeks,Low,Rarely needed,"Upright, clumping",Yes - non-toxic
Peperomia,Peperomia spp.,Foliage,Indirect Light,Once a Week,Average,"Monthly, growing season",Compact / trailing,Yes - non-toxic
Jade Plant,Crassula ovata,Succulent,Bright but Indirect,Once in 2-3 Weeks,Low,2x/year,"Upright, branching",No - toxic to pets
Haworthia,Haworthia spp.,Succulent,Indirect Light,Once in 2-3 Weeks,Low,Rarely,Rosette,Yes - non-toxic
Echeveria,Echeveria spp.,Succulent,Full Sun,Once in 2-3 Weeks,Low,Rarely,Rosette,Yes - non-toxic
Aloe Vera,Aloe barbadensis miller,Succulent,Bright but Indirect,Once in 2-3 Weeks,Low,2x/year,Rosette,No - toxic to pets
Sedum,Sedum spp.,Succulent,Full Sun,Once in 2-3 Weeks,Low,Rarely,Trailing / mounding,Caution - mildly toxic
Zebra Plant (Haworthia fasciata),Haworthia fasciata,Succulent,Bright but Indirect,Once in 2-3 Weeks,Low,Rarely,Rosette,Yes - non-toxic
String of Pearls,Senecio rowleyanus,Succulent / Trailing,Bright but Indirect,Once in 2-3 Weeks,Low,"Occasional, growing season",Trailing,No - toxic to pets
Anthurium,Anthurium andraeanum,Flowering,Bright but Indirect,Once a Week,High (50-60%+),"Monthly, growing season","Upright, clumping",No - toxic to pets
African Violet,Saintpaulia ionantha,Flowering,Bright but Indirect,Once a Week,Average,"Every 2 weeks, growing season",Rosette,Yes - non-toxic
Kalanchoe,Kalanchoe blossfeldiana,Flowering / Succulent,Bright but Indirect,Once a Week,Low,"Monthly, growing season","Upright, clumping",No - toxic to pets
Hibiscus,Hibiscus rosa-sinensis,Flowering,Full Sun,Daily,Moderate,"Regular, growing season",Shrub,Yes - generally non-toxic
Orchid (Phalaenopsis),Phalaenopsis spp.,Flowering,Bright but Indirect,Once a Week,High (50-70%),"Weekly-monthly, diluted",Upright / epiphytic,Yes - non-toxic
Adenium (Desert Rose),Adenium obesum,Flowering / Succulent,Full Sun,Once in 2-3 Weeks,Low,"Regular, growing season, phosphorus-rich feed",Thick trunk / shrub,No - toxic (sap)
Bougainvillea,Bougainvillea spp.,Flowering / Creeper,Full Sun,Once a Week,Low,"Occasional, light feed",Vigorous climber,Yes - non-toxic (thorny)
Syngonium (Arrowhead Plant),Syngonium podophyllum,Foliage / Creeper,Bright but Indirect,Once a Week,Average,"Monthly, growing season",Climbing / trailing,No - toxic to pets
Hoya (Wax Plant),Hoya carnosa,Foliage / Flowering creeper,Bright but Indirect,Once in 2-3 Weeks,Moderate-high,"Monthly, growing season",Vining / trailing,Yes - non-toxic
English Ivy,Hedera helix,Foliage / Creeper,Bright but Indirect,Once a Week,Average-high,"Monthly, growing season",Trailing / climbing,No - toxic to pets
Rangoon Creeper,Combretum indicum (syn. Quisqualis indica),Flowering climber,Full Sun,Once a Week,Moderate,"Light feed, 2x/year","Vigorous twining climber, needs support",Not well documented
Morning Glory,Ipomoea spp.,Flowering climber,Full Sun,Every 2-3 Days,Moderate,Minimal,Fast twining climber,Caution - seeds toxic if ingested
Clock Vine (Bengal Clock Vine),Thunbergia grandiflora,Flowering climber,Full Sun,Once a Week,Moderate,Minimal,Vigorous twining climber,Not well documented
Betel Leaf Vine (Paan),Piper betle,Foliage / Creeper,Bright but Indirect,Every 2-3 Days,High,"Light, occasional",Climbing (needs moss pole/trellis),Edible leaf - traditionally consumed
Passion Flower Vine,Passiflora spp.,Flowering climber,Full Sun,Every 2-3 Days,Moderate,"Regular, growing season",Climbing tendrils,Caution - some parts mildly toxic
Mint,Mentha spp.,Herb,Bright but Indirect,Every 2-3 Days,Moderate,"Occasional, light feed",Spreading / bushy,"Yes - edible, non-toxic"
Tulsi (Holy Basil),Ocimum sanctum / Ocimum tenuiflorum,Herb,Full Sun,Daily,Moderate,"Occasional, light feed","Upright, bushy","Yes - edible, non-toxic"
Curry Leaf Plant,Murraya koenigii,Herb / Shrub,Full Sun,Once a Week,Moderate,"Light, regular feed",Woody shrub,"Yes - edible, non-toxic"
